ObservationSet,Experiment,Broker,Time,Active Procs,CPU (%),Net Sent (KB/s),Net Recv (KB/s)
1,1,Mine,1,1,0.00,0.95,0.00
1,1,Mine,2,1,0.00,0.00,0.00
1,1,Mine,3,1,0.00,0.00,0.00
1,1,Mine,4,1,0.00,0.00,0.96
1,1,Mine,5,1,0.00,0.96,0.00
1,1,Mine,6,1,0.00,0.00,0.00
1,1,Mine,7,1,0.00,0.00,0.00
1,1,Mine,8,1,0.00,0.00,0.00
1,1,Mine,9,1,0.00,0.00,0.00
1,1,Mine,10,1,0.00,0.00,0.00
1,1,Mine,11,1,0.00,0.00,0.00
1,1,Mine,12,1,0.00,0.00,0.00
1,1,Mine,13,1,0.00,0.00,0.96
1,1,Mine,14,1,0.00,0.00,0.00
1,1,Mine,15,1,0.00,0.00,0.00
1,1,Mine,16,1,0.00,0.00,0.00
1,1,Mine,17,1,0.00,0.00,0.00
1,1,Mine,18,1,0.00,0.00,0.00
1,1,Mine,19,1,0.00,0.00,0.00
1,1,Mine,20,1,0.00,0.00,0.00
1,1,Mine,21,1,0.00,0.00,0.00
1,1,Mine,22,1,0.00,0.00,0.00
1,1,Mine,23,1,0.00,0.00,0.00
1,1,Mine,24,1,0.00,3.86,3.86
1,1,Mine,25,1,0.00,0.00,0.00
1,1,Mine,26,1,0.00,0.96,0.96
1,1,Mine,27,1,0.00,0.00,0.00
1,1,Mine,28,1,0.00,0.00,0.00
1,1,Mine,29,1,0.00,0.00,0.00
1,1,MQTT,1,1,0.00,0.00,0.00
1,1,MQTT,2,1,0.00,0.00,0.00
1,1,MQTT,3,1,0.00,0.00,0.96
1,1,MQTT,4,1,0.00,6.75,60.74
1,1,MQTT,5,1,0.00,0.00,0.00
1,1,MQTT,6,1,0.00,0.00,0.00
1,1,MQTT,7,1,0.00,0.96,0.00
1,1,MQTT,8,1,0.00,0.95,0.95
1,1,MQTT,9,1,0.00,0.00,0.00
1,1,MQTT,10,1,0.00,0.00,0.00
1,1,MQTT,11,1,0.00,0.00,0.00
1,1,MQTT,12,1,0.00,0.00,0.00
1,1,MQTT,13,1,0.00,0.00,0.00
1,1,MQTT,14,1,0.00,0.00,0.00
1,1,MQTT,15,1,0.00,0.00,0.96
1,1,MQTT,16,1,0.00,2.87,0.96
1,1,MQTT,17,1,0.00,0.00,0.00
1,1,MQTT,18,1,0.00,0.00,0.00
1,1,MQTT,19,1,0.00,0.00,0.00
1,1,MQTT,20,1,0.00,0.00,0.96
1,1,MQTT,21,1,0.00,0.96,0.00
1,1,MQTT,22,1,0.00,34.34,93.48
1,1,MQTT,23,1,0.00,8.67,19.26
1,1,MQTT,24,1,0.00,14.47,22.19
1,1,MQTT,25,1,0.00,9.60,25.91
1,1,MQTT,26,1,0.00,11.56,27.93
1,1,MQTT,27,1,0.00,10.58,20.21
1,1,MQTT,28,1,0.00,11.49,27.76
1,1,MQTT,29,1,0.00,8.65,12.49
1,2,Mine,1,3,0.00,0.00,0.94
1,2,Mine,2,9,0.30,4.67,12.15
1,2,Mine,3,27,1.10,22.92,33.00
1,2,Mine,4,43,1.00,19.71,21.50
1,2,Mine,5,61,1.10,25.81,27.59
1,2,Mine,6,63,0.70,9.93,8.13
1,2,Mine,7,73,0.80,15.81,17.57
1,2,Mine,8,80,0.90,10.42,9.55
1,2,Mine,9,99,1.30,35.84,31.47
1,2,Mine,10,120,1.50,32.84,27.66
1,2,Mine,11,144,1.30,37.29,34.75
1,2,Mine,12,165,1.20,26.22,21.99
1,2,Mine,13,159,0.10,3.82,3.82
1,2,Mine,14,159,0.00,0.00,0.00
1,2,Mine,15,159,0.00,0.95,0.95
1,2,Mine,16,159,0.00,0.94,0.94
1,2,Mine,17,159,0.00,0.00,0.95
1,2,Mine,18,159,0.00,0.94,0.00
1,2,Mine,19,159,0.00,0.00,0.00
1,2,Mine,20,159,0.00,0.00,0.00
1,2,Mine,21,159,0.00,0.00,0.00
1,2,Mine,22,159,0.00,0.00,0.00
1,2,Mine,23,159,0.00,0.00,0.00
1,2,Mine,24,159,0.00,0.00,0.00
1,2,Mine,25,159,0.00,0.00,0.00
1,2,Mine,26,159,0.00,0.00,0.00
1,2,Mine,27,159,0.00,0.00,0.00
1,2,Mine,28,159,0.00,0.00,0.95
1,2,MQTT,1,1,0.00,23.81,23.81
1,2,MQTT,2,1,0.60,17.20,7.64
1,2,MQTT,3,1,3.20,130.78,85.91
1,2,MQTT,4,1,3.90,169.98,103.72
1,2,MQTT,5,1,1.60,91.13,61.39
1,2,MQTT,6,1,1.70,80.02,49.17
1,2,MQTT,7,1,3.90,159.97,99.26
1,2,MQTT,8,1,3.00,158.83,104.29
1,2,MQTT,9,1,0.80,54.21,40.90
1,2,MQTT,10,1,0.00,0.00,0.96
1,2,MQTT,11,1,0.00,0.96,0.00
1,2,MQTT,12,1,0.00,0.00,0.00
1,2,MQTT,13,1,0.00,0.00,0.00
