ObservationSet,Experiment,Broker,Time,Active Procs,CPU (%),Net Sent (KB/s),Net Recv (KB/s)
1,1,Mine,1,1,0.0,0.0,0.0
1,1,Mine,2,1,0.0,0.97,0.97
1,1,Mine,3,1,0.0,8.66,8.66
1,1,Mine,4,1,0.0,6.71,5.75
1,1,Mine,5,1,0.0,0.96,0.96
1,1,Mine,6,1,0.0,0.96,0.0
1,1,Mine,7,1,0.0,0.0,0.0
1,1,Mine,8,1,0.0,0.0,0.0
1,1,Mine,9,1,0.0,1.92,0.96
1,1,Mine,10,1,0.0,1.92,1.92
1,1,Mine,11,1,0.0,0.0,0.96
1,1,Mine,12,1,0.0,14.31,8.58
1,1,Mine,13,1,0.0,0.0,0.0
1,1,Mine,14,1,0.0,0.0,0.0
1,1,Mine,15,1,0.0,0.0,0.0
1,1,Mine,16,1,0.0,0.0,0.0
1,1,Mine,17,1,0.0,0.0,0.0
1,1,Mine,18,1,0.0,0.0,0.0
1,1,Mine,19,1,0.0,0.0,0.0
1,1,Mine,20,1,0.0,0.0,0.96
1,1,Mine,21,1,0.0,0.96,0.0
1,1,Mine,22,1,0.0,0.0,0.0
1,1,Mine,23,1,0.0,0.0,0.0
1,1,Mine,24,1,0.0,0.95,0.95
1,1,Mine,25,1,0.0,0.96,2.89
1,1,Mine,26,1,0.0,0.96,0.0
1,1,Mine,27,1,0.0,0.0,0.96
1,1,Mine,28,1,0.0,0.0,0.0
1,1,Mine,29,1,0.0,0.96,1.91
2,1,Mine,1,1,0.0,0.96,0.0
2,1,Mine,2,1,0.0,0.0,0.96
2,1,Mine,3,1,0.0,0.0,0.0
2,1,Mine,4,1,0.0,0.0,0.0
2,1,Mine,5,1,0.0,9.57,4.79
2,1,Mine,6,1,0.0,0.0,0.0
2,1,Mine,7,1,0.0,1.92,1.92
2,1,Mine,8,1,0.0,1.92,1.92
2,1,Mine,9,1,0.0,0.0,0.0
2,1,Mine,10,1,0.0,0.0,0.0
2,1,Mine,11,1,0.0,0.0,0.96
2,1,Mine,12,1,0.0,0.0,0.0
2,1,Mine,13,1,0.0,0.0,0.0
2,1,Mine,14,1,0.0,0.96,0.0
2,1,Mine,15,1,0.0,0.0,0.96
2,1,Mine,16,1,0.0,0.0,0.0
2,1,Mine,17,1,0.0,0.0,0.96
2,1,Mine,18,1,0.0,0.96,0.0
2,1,Mine,19,1,0.0,0.0,0.96
2,1,Mine,20,1,0.0,0.0,0.0
2,1,Mine,21,1,0.0,0.0,0.96
2,1,Mine,22,1,0.0,0.0,0.0
2,1,Mine,23,1,0.0,0.0,0.0
2,1,Mine,24,1,0.0,0.0,0.0
2,1,Mine,25,1,0.0,0.96,0.96
2,1,Mine,26,1,0.0,0.0,0.96
2,1,Mine,27,1,0.0,0.0,0.0
2,1,Mine,28,1,0.0,1.92,2.89
2,1,Mine,29,1,0.0,0.0,0.96
3,1,Mine,1,1,0.0,0.0,0.0
3,1,Mine,2,1,0.0,0.0,0.0
